texto_canonico,estructura_linguistica,referente_principal,dominios_semanticos,elementos_secundarios,componentes_patron,patron_reutilizable,operacion_humoristica_principal,mecanismo_humoristico,marco_discursivo,nivel_visual,nivel_absurdo,usa_referencia_cultural,habilitado_generacion,motivo_no_generativo
cachorro y dinosaurio,sustantivo + conjunción + sustantivo,ANIMAL,ANIMAL,cachorro; dinosaurio,ANIMAL; ANIMAL,[ANIMAL] + y + [ANIMAL],HIBRIDAR_MISMO_DOMINIO,combinacion_absurda,NINGUNO,2,2,False,True,
cabeza de pote muñeque parcelana,sustantivo + de + sustantivo + adjetivo + adjetivo,PARTE_CUERPO,NACIONALIDAD_ORIGEN; OBJETO; PARTE_CUERPO; PERSONA,cabeza; pote; muñeque; parcelana,PARTE_CUERPO; OBJETO; PERSONA; NACIONALIDAD_ORIGEN,[PARTE_CUERPO] + de + [OBJETO] + [PERSONA] + [NACIONALIDAD_ORIGEN],ENCADENAR_CON_DE,combinacion_absurda,NINGUNO,3,4,False,True,
toledo joven,sustantivo + adjetivo,PERSONA,PERSONA; RASGO_APARIENCIA,toledo; joven,PERSONA; RASGO_APARIENCIA,[PERSONA] + [RASGO_APARIENCIA],REFERENCIAR,referencia_popular,NINGUNO,1,1,True,True,
el hombre lobo joven,artículo + sustantivo + sustantivo + adjetivo,PERSONAJE_MITICO,PERSONA; PERSONAJE_MITICO; RASGO_APARIENCIA,el; hombre; lobo; joven,PERSONA; PERSONAJE_MITICO; RASGO_APARIENCIA,[PERSONA] + [PERSONAJE_MITICO] + [RASGO_APARIENCIA],COMPARAR,comparacion_visual,NINGUNO,3,2,False,True,
la rica vicky mi bella perra isabel la católica,artículo + adjetivo + sustantivo + pronombre + adjetivo + sustantivo + sustantivo + adjetivo + sustantivo,PERSONA,ANIMAL; NACIONALIDAD_ORIGEN; PERSONA; RASGO_APARIENCIA,la; rica; vicky; mi; bella; perra; isabel; la; católica,PERSONA; RASGO_APARIENCIA; ANIMAL; PERSONA; NACIONALIDAD_ORIGEN,[PERSONA] + [RASGO_APARIENCIA] + [ANIMAL] + [PERSONA] + [NACIONALIDAD_ORIGEN],YUXTAPONER_DIRECTO_SIN_NEXO,combinacion_absurda,NINGUNO,4,5,False,True,
señor jackson de estripador,sustantivo + sustantivo + de + sustantivo,PERSONA,PERSONA; PERSONAJE_POPULAR,señor; jackson; de; estripador,PERSONA; PERSONAJE_POPULAR; PERSONA,[PERSONA] + [PERSONAJE_POPULAR] + de + [PERSONA],REFERENCIAR,referencia_popular,NINGUNO,2,2,True,True,
el conde moisés,artículo + sustantivo + sustantivo,PERSONA,PERSONA,el; conde; moisés,PERSONA; PERSONA,[PERSONA] + [PERSONA],REFERENCIAR,referencia_popular,NINGUNO,1,1,True,True,
chimpancé y han puesto pescado frustrado,sustantivo + conjunción + verbo + sustantivo + adjetivo,ANIMAL,ACCION_CONDUCTA; ANIMAL; MATERIAL_SUSTANCIA; RASGO_APARIENCIA,chimpancé; y; han; puesto; pescado; frustrado,ANIMAL; ACCION_CONDUCTA; MATERIAL_SUSTANCIA; RASGO_APARIENCIA,[ANIMAL] + y + [ACCION_CONDUCTA] + [MATERIAL_SUSTANCIA] + [RASGO_APARIENCIA],YUXTAPONER_DIRECTO_SIN_NEXO,combinacion_absurda,NINGUNO,3,4,False,True,
coyote anciano,sustantivo + adjetivo,ANIMAL,ANIMAL; RASGO_APARIENCIA,coyote; anciano,ANIMAL; RASGO_APARIENCIA,[ANIMAL] + [RASGO_APARIENCIA],COMPARAR,comparacion_visual,NINGUNO,2,1,False,True,
mi querida federal,pronombre + adjetivo + sustantivo,PERSONA,PERSONA; RASGO_APARIENCIA,mi; querida; federal,PERSONA; RASGO_APARIENCIA,[PERSONA] + [RASGO_APARIENCIA],REFERENCIAR,referencia_popular,NINGUNO,1,1,True,True,
mi querida momia con peluja,pronombre + adjetivo + sustantivo + preposición + sustantivo,PERSONAJE_MITICO,ACCESORIO; RASGO_APARIENCIA,mi; querida; momia; con; peluja,RASGO_APARIENCIA; ACCESORIO,[RASGO_APARIENCIA] + con + [ACCESORIO],COMPONER_CON_NEXO_CON,combinacion_absurda,MI_QUERIDA,3,3,False,True,
mi querido flajote de jorge chávez,pronombre + adjetivo + sustantivo + preposición + nombre propio,PERSONA,PALABRA_DEFORMADA_DUDOSA; PERSONA,mi; querido; flajote; de; jorge; chávez,PALABRA_DEFORMADA_DUDOSA; PERSONA,[PALABRA_DEFORMADA_DUDOSA] + de + [PERSONA],REFERENCIAR,referencia_popular,MI_QUERIDO,2,2,True,True,
peinado de iguana,sustantivo + preposición + sustantivo,CABELLO_PEINADO,ANIMAL; CABELLO_PEINADO,peinado; de; iguana,CABELLO_PEINADO; ANIMAL,[CABELLO_PEINADO] + de + [ANIMAL],ANIMALIZAR,asociacion_animal_persona,NINGUNO,2,2,False,True,
pelo de choclo,sustantivo + preposición + sustantivo,CABELLO_PEINADO,ALIMENTO; CABELLO_PEINADO,pelo; de; choclo,CABELLO_PEINADO; ALIMENTO,[CABELLO_PEINADO] + de + [ALIMENTO],ANIMALIZAR,asociacion_alimento_persona,NINGUNO,2,2,False,True,
intestino gallo,sustantivo + sustantivo,PARTE_CUERPO,ANIMAL; PARTE_CUERPO,intestino; gallo,PARTE_CUERPO; ANIMAL,[PARTE_CUERPO] + [ANIMAL],YUXTAPONER_DIRECTO_SIN_NEXO,combinacion_absurda,NINGUNO,3,4,False,True,
gato bailarín,sustantivo + adjetivo,ANIMAL,ACCION_CONDUCTA; ANIMAL,gato; bailarín,ANIMAL; ACCION_CONDUCTA,[ANIMAL] + [ACCION_CONDUCTA],YUXTAPONER_DIRECTO_SIN_NEXO,combinacion_absurda,NINGUNO,2,3,False,True,
gordazo,sustantivo,PERSONA,RASGO_APARIENCIA,gordazo,RASGO_APARIENCIA,[RASGO_APARIENCIA],DEFORMAR,deformacion_lexica,NINGUNO,1,2,False,True,
gordo,sustantivo,PERSONA,RASGO_APARIENCIA,gordo,RASGO_APARIENCIA,[RASGO_APARIENCIA],DEFORMAR,deformacion_lexica,NINGUNO,1,1,False,True,
monalisa de caja de ague,sustantivo + preposición + sustantivo + preposición + sustantivo,PERSONA,OBJETO; PALABRA_DEFORMADA_DUDOSA; PERSONA,monalisa; de; caja; de; ague,PERSONA; OBJETO; PALABRA_DEFORMADA_DUDOSA,[PERSONA] + de + [OBJETO] + de + [PALABRA_DEFORMADA_DUDOSA],ENCADENAR_CON_DE,combinacion_absurda,NINGUNO,3,4,False,True,
cara de murciélago,sustantivo + preposición + sustantivo,ROSTRO,ANIMAL; ROSTRO,cara; de; murciélago,ROSTRO; ANIMAL,[ROSTRO] + de + [ANIMAL],ANIMALIZAR,asociacion_animal_persona,NINGUNO,2,2,False,True,
