chapa_original,chapa_normalizada,caracteristica_asociada,categoria_riesgo,motivo_estado
Barrabás de ambiente,barrabas de ambiente,barba larga,ORIENTACION_SEXUAL_CODIFICADA,Expresión históricamente usada como alusión a orientación sexual; no usar como remate ni patrón.
Chancha del estadio nacional,chancha del estadio nacional,la pisan 24 jugadores,SEXUALIZACION_MISOGINIA,La explicación asociada sexualiza y degrada a una mujer mediante una metáfora colectiva.
llanero solitario,llanero solitario,monta con plata,SEXUALIZACION,La explicación asociada puede funcionar como insinuación sexual/transactional; conservar solo como histórico.
rocola,rocola,le metes una moneda y te toca lo que quieras,SEXUALIZACION_OBJETIFICACION,La explicación asociada convierte a la persona en objeto disponible a cambio de dinero.
gripe,gripe,todas la han tenido,SEXUALIZACION_MISOGINIA,La explicación asociada alude a disponibilidad/promiscuidad sexual.
senor larva gay,senor larva gay,,ORIENTACION_SEXUAL,La orientación sexual aparece explícitamente como objeto de burla.
peinado de gringo,peinado de gringo,,NACIONALIDAD_ORIGEN,Usa origen/nacionalidad como componente del apodo.
senora lobo de mar gringa,senora lobo de mar gringa,pelo rubio,NACIONALIDAD_ORIGEN,Usa origen/nacionalidad como componente del apodo.
aguja,aguja,gay,ORIENTACION_SEXUAL,"Aunque la chapa no contiene el término, la característica asociada es 'gay'; no debe inspirar nuevas chapas."
cachetada de satanas,cachetada de satanas,,VIOLENCIA,Construcción basada en una agresión física.
jack el destripador,jack el destripador,flaco,VIOLENCIA_GORE,Referencia explícita a violencia extrema/desmembramiento.
